prompt,completion
"Heel Height is Mid. Washing Instructions is Do Not Wash. Brand is Paradox London. Occasion Type is Smart. Shoe Or Boot Style is Heeled Sandals. Main Shoe Material is Satin. Exact Heel Height is 8cm. Fastening is Buckle. Heel Type is Block. Toe Detail is Peep Toe.  Heel Style is Covered. Material is Upper: satin, Sole: synthetic, Lining: synthetic.","These vintage-inspired Kyrie peep toe sandals from Paradox London feature a pretty scallop design.
Made with satin uppers and a mid-height block heel, the ankle strap provides support and stability and all-day comfort, no matter what the occasion."
"Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Low. Brand is NeroGiardini. Occasion Type is Smart. Exact Heel Height is 1cm. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: rubber, Lining: leather.","An easy addition to your wardrobe, this pair of loafers from NeroGiardini is made with supple leather for a luxurious feel.
Set on a flat heel, they are shaped with an almond toe for a neat finish."
"Heel Height is Flat. Washing Instructions is Do Not Use Bleach, Do Not Wash. Brand is SOEUR. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Mules. Heel Type is Flat. Toe Detail is Closed Toe, Round. Composition is Upper: leather, Inner/Sock: leather, Sole: leather. Pattern Details is Plain.","Moulding to the curve of your feet, this pair of footbed clogs from SOEUR is made with supple leather for a luxurious feel.
Set on a flat heel with an adjustable swivel strap that can be worn on the front or the back, they have a cork insole."
"Washing Instructions is Do Not Wash. Main Shoe Material is Leather. Shoe Or Boot Style is Walking. Fabric Features is Breathable, Waterproof. Heel Type is Flatform. Heel Height is Flat. Brand is Josef Seibel. Occasion Type is Casual. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Material is Upper: leather. Pattern Details is Colour Block.","With practicality that's sure to withstand uneven terrains, this pair of walking boots from Josef Seibel is fashioned from leather for footwear that will last for years to come.
Set on a flatform heel, they boast underfoot cushioning to improve comfort support and have a rounded toe for everyday charm."
"Heel Height is Mid. Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Suede. Exact Heel Height is 5.5cm. Heel Type is Block. Toe Detail is Pointed. Composition is Upper: suede, Lining: synthetic, Sole: synthetic. Pattern Details is Plain.","Cut to an ankle-high silhouette, this pair of boots from Dune is made with suede for a luxe addition to your footwear collection.
Sitting on a block heel with an inside zip for easy wear, they are topped with a sharply pointed toe for a timeless finish.
Heel height: 5.5cm"
"Heel Height is Mid. Brand is Whistles. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 4cm. Heel Type is Block. Toe Detail is Pointed. Material is Upper: leather, Sole: resin.","Designed from responsibly sourced leather, these Kara boots from Whistles come with a contemporary pointed toe and a 4cm Cuban heel that's perfect for everyday styling. 
Wear yours with anything from jeans to dresses this autumn-winter."
"Heel Height is Low. Brand is AND/OR. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Cowboy Boots. Exact Heel Height is 4.5cm. Country of Origin is Spain. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: leather, Sole: PU, Lining: leather.","These AND/OR Petra summer western boots are inspired by traditional western boots.
Made from soft leather, it's set on a mid-heel with a mid-calf leg cut. Team yours with denim or dresses for a casual summer vibe.
Clean regularly with good quality neutral or matching shoe polish. Use a soft cloth to apply and allow the polish to dry so the leather can absorb it properly. Then buff away any excess polish with a cloth or brush. 
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group."
"Heel Height is Low. Brand is Whistles. Occasion Type is Casual. Main Shoe Material is Leather. Exact Heel Height is 3.5cm. Heel Type is Block. Toe Detail is Round. Composition is Upper: leather, Sole: synthetic, Lining: synthetic.","An updated take on the classic Chelsea boot - this style from Whistles has been designed with an extended top line with an easy-to-wear elasticated side. 
Designed from soft responsibly sourced leather, you can wear these with just about anything."
"Brand is Boden. Occasion Type is Casual. Shoe Or Boot Style is Chelsea Boots. Main Shoe Material is Suede. Heel Type is Block. Toe Detail is Round. Material is Upper: suede, Sole: man-made, Lining: leather.","These boots from Boden love long walks in the park and evenings spent in pubs.
Made from suede, they have an insock and lining in leather for all-day comfort and elasticated side panels for ease of wear."
"Heel Height is High. Brand is Moda in Pelle. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 9cm. Heel Type is Wedge. Toe Detail is Round. Material is Upper: leather, Sole: rubber, Lining: faux fur. Pattern Details is Plain.","Stepping out in style, this pair of ankle boots from Moda in Pelle won't be a one-hit wonder thanks to its premium leather uppers.
Sitting on a wedge heel, they are rounded at the toe for a fuss-free finish.
Heel height: 9cm"
"Heel Height is Mid. Washing Instructions is  Dry wipe clean. Brand is Phase Eight. Occasion Type is Casual. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Leather. Exact Heel Height is 4cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: rubber. Pattern Details is Plain.","Sure to be a favourite in cooler months, this pair of knee boots by Phase Eight is made with supple leather for a luxurious feel.
Set on a block heel, they are round-toed in design to make your everyday staples sing.
Heel height: 4cm"
Heel Height is Mid. Washing Instructions is Wipe with a clean dry cloth. Brand is Steve Madden. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Synthetic. Exact Heel Height is 7cm. Heel Type is Block. Toe Detail is Pointed. Material is Upper: synthetic. Sole: rubber. Lining: synthetic.. Pattern Details is Animal.," Balancing function and form, this pair of ankle boots from Steve Madden boasts a sleek snake print design and offers long-lasting, comfortable wear.
Sitting on a block heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 7cm"
"Heel Height is Low. Brand is Josef Seibel. Shoe Or Boot Style is Chelsea Boots. Main Shoe Material is Leather. Heel Type is Block. Toe Detail is Round. Material is Upper: leather, Sole: polyurethane, Lining: textile . Pattern Details is Abstract.","Blending style and function, this pair of Chelsea boots by Josef Seibel is crafted from leather for comfort and longevity of wear.
Set on a block heel, they have a rounded toe for everyday charm."
"Heel Height is Low. Brand is Muck. Occasion Type is Casual. Main Shoe Material is Rubber. Shoe Or Boot Style is Ankle Boots, Wellingtons. Exact Heel Height is 3cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Composition is Upper; rubber, Sole: rubber, Lining: synthetic.","Making damp socks a thing of the past, this pair of ankle-high wellington boots from Muck is ideal for getting out and about, even if the weather thinks otherwise.
Set on a block heel, they are round-toed in design to make your everyday staples sing.
Heel height: 3cm"
"Heel Height is Low. Brand is AND/OR. Occasion Type is Casual. Shoe Or Boot Style is Biker Boots. Main Shoe Material is Suede. Exact Heel Height is 3cm. Country of Origin is Romania. Heel Type is Block. Toe Detail is Round. Material is Upper: leather, Sole: synthetic, Lining: leather.","These chunky lace-up Rubie utility boots from AND/OR ARE set on a rubber sole with understated lacing. 
They feature stud detailing on the back counter and are made from leather, ideal for adding a bold finish to your outfits.
Good to know: Let any loose dirt dry out, then gently brush it off. You can get rid of stains with a specialist cleaner. After cleaning, it is a good idea to use a waterproofing spray, to protect them from weather and any splashes or spills.
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group."
"Heel Height is Low. Brand is FatFace. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Ankle Boots, Cowboy Boots. Exact Heel Height is 3cm. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: suede, Sole: rubber .","In a simple ankle shape, these cowboy boots by FatFace is fashioned from suede for long-lasting quality and comfort.
Set on a block heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 3cm"
"Main Shoe Material is Synthetic. Shoe Or Boot Style is Knee Boots. Heel Type is Block. Heel Height is Mid. Brand is Boden. Exact Heel Height is 7cm. Material is Upper: Synthetic, Lining: sheep leather, Sole: synthetic.","Think of these soft, faux suede knee-high boots as the foundation of your shoe-drobe. They've got plenty of stretch, a snug fit on the calf and a totally walkable block heel for ultimate comfort. Just pull them on over tights or jeans and you're good to go anywhere.
Heel Height: 7cm"
"Heel Height is Flat. Brand is Josef Seibel. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is Upper: leather, Lining: leather and textile, Sole: EVO . Pattern Details is Floral.","Balancing function and form, this pair of ankle boots from Josef Seibel is made from leather for comfort and quality that you can rely on.
Sitting on a flat heel with a lightweight, durable and flexible hand-stitched natural finished sole, they have been designed with removable underfoot cushioning and plenty of padding around your ankle to provide extra support when on your feet."
"Heel Height is Mid. Brand is Carvela. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 8cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper:leather, Sole: rubber, Lining: leather.","An understated classic you can’t possibly be without, this pair of ankle boots from Carvela is made with supple leather for a luxurious feel.
Set on a block heel, they are sure to be a favourite for off-duty days.
Heel height: 8cm"
"Heel Height is Low. Brand is Dune. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 5cm. Heel Type is Block. Toe Detail is Closed Toe. Composition is Upper: leather, Sole: synthetic, Lining: synthetic.","Balancing function and form, this pair of ankle boots from Dune is made from leather for comfort and quality that you can rely on.
Set on a block heel, they are sure to keep out the chill.
Heel height: 5cm"
